team_name,race_year,total_races,total_points,avg_points
Ferrari,1950,8,57,7.125
Ferrari,1951,22,168,7.636363636363637
Ferrari,1952,28,202,7.214285714285714
Ferrari,1953,35,230,6.571428571428571
Mercedes,1954,12,96,8
Ferrari,1954,25,175,7
Mercedes,1955,15,124,8.266666666666667
Ferrari,1955,21,131,6.238095238095238
Ferrari,1956,23,172,7.478260869565218
Ferrari,1957,20,130,6.5
Ferrari,1958,21,159,7.571428571428571
Ferrari,1959,19,132,6.947368421052632
Ferrari,1960,17,102,6
Ferrari,1961,19,152,8
Ferrari,1962,12,73,6.083333333333333
Ferrari,1963,8,53,6.625
Ferrari,1964,15,105,7
Ferrari,1965,16,86,5.375
Ferrari,1966,8,65,8.125
Lotus-Ford,1967,9,75,8.333333333333334
Ferrari,1967,11,64,5.818181818181818
Lotus-Ford,1968,15,115,7.666666666666667
Ferrari,1968,10,70,7
Lotus-Ford,1969,22,127,5.7727272727272725
Ferrari,1969,4,23,5.75
Ferrari,1970,15,119,7.933333333333334
Ferrari,1971,11,79,7.181818181818182
Lotus-Ford,1971,10,63,6.3
McLaren,1971,11,46,4.181818181818182
McLaren,1972,20,136,6.8
Ferrari,1972,15,99,6.6
McLaren,1973,24,147,6.125
Ferrari,1973,11,54,4.909090909090909
Ferrari,1974,17,142,8.352941176470589
McLaren,1974,31,187,6.032258064516129
Ferrari,1975,20,150,7.5
McLaren,1975,18,127,7.055555555555555
McLaren,1976,20,147,7.35
Ferrari,1976,22,159,7.2272727272727275
Ferrari,1977,24,189,7.875
McLaren,1977,20,124,6.2
Ferrari,1978,20,119,5.95
McLaren,1978,21,86,4.095238095238095
Ferrari,1979,24,183,7.625
McLaren,1979,13,55,4.230769230769231
McLaren,1980,10,50,5
Ferrari,1980,12,47,3.9166666666666665
Ferrari,1981,13,72,5.538461538461538
McLaren,1981,13,70,5.384615384615385
Ferrari,1982,16,122,7.625
McLaren,1982,17,118,6.9411764705882355
Ferrari,1983,20,148,7.4
McLaren,1983,12,74,6.166666666666667
McLaren,1984,21,191,9.095238095238095
Ferrari,1984,18,123,6.833333333333333
McLaren,1985,16,134,8.375
Ferrari,1985,20,147,7.35
McLaren,1986,21,161,7.666666666666667
Ferrari,1986,15,88,5.866666666666666
Ferrari,1987,12,92,7.666666666666667
McLaren,1987,22,149,6.7727272727272725
McLaren,1988,28,253,9.035714285714286
Ferrari,1988,18,129,7.166666666666667
Ferrari,1989,9,82,9.11111111111111
McLaren,1989,21,188,8.952380952380953
Ferrari,1990,19,163,8.578947368421053
McLaren,1990,22,187,8.5
McLaren,1991,24,204,8.5
Ferrari,1991,16,117,7.3125
McLaren,1992,19,150,7.894736842105263
Ferrari,1992,10,56,5.6
McLaren,1993,17,128,7.529411764705882
Ferrari,1993,14,77,5.5
